"Test,Original(ms),Optimized(ms)"  
Test,Original,1042.36
Test,Optimized,0.33
Test,Original,1047.86
Test,Optimized,0.13
Test,Original,1051.56
Test,Optimized,0.13
Test,Original,1039.96
Test,Original,1040.81
Test,Optimized,0.14
Test,Original,1043.31
Test,Optimized,0.13
Test,Original,1042.24
Test,Original,1053.16
Test,Optimized,0.0
Test,Original,1048.52
Test,Original,1055.63
Test,Original,5285.31
Test,Original,53285.11
Test,Optimized,0.0
Test,Original,1053.43
Test,Optimized,0.0
Test,Optimized,0.0
Test,Optimized,0.0
Test,Optimized,0.0
Test,Optimized,7.98
Test,Original,1068.23
Test,Original,1050.74
Test,Original,21125.29
Test,Optimized,0.0
Test,Optimized,0.0
Test,Original,1051.45
Test,Original,54058.26
Test,Original,1061.97
Test,Original,10651.14
Test,Original,1056.75
Test,Original,1051.09
Test,Original,1084.0
Test,Original,1081.42
Test,Original,1070.34
Test,Original,1056.2
Test,Original,1055.95
Test,Original,1052.37
Test,Original,5263.85
Test,Original,10574.68
Test,Optimized,3495.04
Test,Original,1086.1
