plane_id,scheduled_at,type,priority,runway
PL1005,2,takeoff,1,R1
PL1085,6,landing,2,R1
PL1052,7,takeoff,2,R1
PL1099,11,landing,2,R1
PL1075,15,takeoff,2,R1
PL1050,19,landing,2,R1
PL1055,23,takeoff,2,R1
PL1076,32,takeoff,2,R1
PL1019,33,landing,2,R1
PL1092,41,takeoff,2,R1
PL1053,42,takeoff,1,R1
PL1041,48,takeoff,1,R1
PL1084,49,landing,1,R1
PL1031,51,landing,3,R1
PL1077,52,landing,3,R1
PL1032,53,landing,2,R1
PL1071,56,takeoff,3,R1
PL1090,59,landing,2,R1
PL1026,61,takeoff,2,R1
PL1059,69,takeoff,1,R1
PL1087,70,takeoff,2,R1
PL1040,73,landing,1,R1
PL1065,74,takeoff,3,R1
PL1013,75,takeoff,2,R1
PL1054,81,takeoff,1,R1
PL1064,83,landing,3,R1
PL1046,89,takeoff,2,R1
PL1039,93,takeoff,1,R1
PL1068,94,landing,1,R1
PL1002,95,landing,2,R1
PL1066,96,landing,2,R1
PL1097,100,landing,3,R1
PL1086,101,landing,1,R1
PL1074,103,takeoff,2,R1
PL1080,104,landing,3,R1
PL1037,105,landing,2,R1
PL1083,106,takeoff,2,R1
PL1015,109,takeoff,1,R1
PL1009,110,landing,3,R1
PL1006,111,takeoff,3,R1
PL1044,114,landing,3,R1
PL1010,115,takeoff,2,R1
PL1024,116,landing,3,R1
PL1089,122,takeoff,2,R1
PL1078,124,landing,3,R1
PL1061,126,takeoff,3,R1
PL1012,128,landing,2,R1
PL1035,129,takeoff,3,R1
PL1042,131,takeoff,3,R1
PL1082,132,takeoff,3,R1
PL1057,133,takeoff,1,R1
PL1069,135,takeoff,1,R1
PL1028,136,takeoff,1,R1
PL1016,137,takeoff,3,R1
PL1067,139,landing,3,R1
PL1060,142,takeoff,2,R1
PL1034,146,takeoff,1,R1
PL1098,147,takeoff,3,R1
PL1020,148,takeoff,2,R1
PL1011,150,takeoff,1,R1
PL1029,158,takeoff,1,R1
PL1047,161,takeoff,3,R1
PL1023,162,takeoff,1,R1
PL1094,163,takeoff,2,R1
PL1030,164,takeoff,3,R1
PL1003,176,landing,2,R1
PL1091,178,landing,2,R1
PL1007,184,landing,2,R1
PL1072,189,landing,2,R1
PL1096,190,landing,3,R1
PL1100,192,takeoff,3,R1
PL1095,196,landing,1,R1
PL1063,198,takeoff,1,R1
PL1088,207,landing,1,R1
PL1018,218,takeoff,2,R1
PL1058,221,takeoff,1,R1
PL1079,231,landing,3,R1
PL1062,233,landing,1,R1
PL1038,236,takeoff,1,R1
PL1036,241,landing,1,R1
PL1021,245,landing,1,R1
PL1022,246,landing,1,R1
PL1004,248,landing,1,R1
PL1014,252,landing,3,R1
PL1043,255,landing,2,R1
PL1070,260,landing,3,R1
PL1073,261,takeoff,3,R1
PL1048,262,takeoff,1,R1
PL1017,263,landing,1,R1
PL1025,264,landing,2,R1
PL1001,268,landing,1,R1
PL1081,278,takeoff,3,R1
PL1056,279,landing,1,R1
PL1008,286,landing,2,R1
PL1027,288,landing,2,R1
PL1093,290,landing,3,R1
PL1049,292,landing,1,R1
PL1051,293,takeoff,1,R1
PL1045,297,landing,1,R1
PL1033,300,takeoff,1,R1
